Producto,Cantidad,Precio_Unitario,Fecha_Venta,Vendedor
Mouse, 2,681 USD,01-01-2026,Jorge Romero
Mouse, 2,425 USD,01-01-2026,Carlos López
Mouse,1,685 USD,2026-01-01,Juan Pérez
Laptop, 2,21 USD,01-01-2026,Sara Ruiz
Mouse, 2,245 USD,2026-01-01,Lucía Sánchez
Monitor, 2,486 USD,2026.01.01,Sofía Giménez
Monitor,1,322 USD,01-01-2026,Ana Martínez
Monitor, 2,351 USD,2026-01-01,Elena Torres
Laptop,5,305 USD,01-01-2026,Diego Díaz
Mouse, 2,285 USD,01-01-2026,Valeria Sosa
Monitor, 2,411 USD,2026.01.01,Luis Fernández
Teclado,cuatro,207 USD,01-01-2026,María García
Monitor,3 ,953 USD,2026-01-01,Luis Fernández
Laptop, 2,461 USD,01-01-2026,Elena Torres
Laptop,5,838 USD,01-01-2026,Pedro Gómez
Teclado,cuatro,469 USD,2026.01.01,Luis Fernández
Laptop,3 ,341 USD,01-01-2026,Luis Fernández
Laptop,1,39 USD,2026-01-01,Elena Torres
Mouse,1,317 USD,2026-01-01,Valeria Sosa
Monitor,3 ,622 USD,01-01-2026,Andrés Benítez
Monitor,5,37 USD,01-01-2026,Andrés Benítez
Mouse,3 ,263 USD,2026.01.01,Lucía Sánchez
Mouse, 2,77 USD,01-01-2026,María García
Monitor,1,549 USD,2026.01.01,Diego Díaz
Monitor,1,775 USD,01-01-2026,Facundo Acosta
Mouse,3 ,689 USD,2026.01.01,Sofía Giménez
Mouse, 2,768 USD,2026-01-01,Pedro Gómez
Monitor,1,838 USD,2026-01-01,Luis Fernández
Monitor,1,919 USD,01-01-2026,Facundo Acosta
Mouse,1,681 USD,01-01-2026,Lucía Sánchez
Teclado,3 ,766 USD,2026-01-01,Pedro Gómez
Mouse,5,414 USD,01-01-2026,Sofía Giménez
Teclado, 2,555 USD,01-01-2026,Sara Ruiz
Teclado, 2,560 USD,2026.01.01,Diego Díaz
Mouse,1,415 USD,01-01-2026,Sofía Giménez
Laptop,3 ,309 USD,01-01-2026,Diego Díaz
Laptop,cuatro,359 USD,2026.01.01,Sara Ruiz
Mouse, 2,879 USD,2026-01-01,Luis Fernández
Mouse,cuatro,700 USD,2026-01-01,Facundo Acosta
Teclado,cuatro,152 USD,2026.01.01,Sara Ruiz
Monitor, 2,692 USD,01-01-2026,Facundo Acosta
Laptop, 2,611 USD,2026.01.01,Sofía Giménez
Monitor,1,364 USD,01-01-2026,Valeria Sosa
Laptop,1,719 USD,2026-01-01,Sara Ruiz
Laptop, 2,842 USD,2026.01.01,Pedro Gómez
Monitor,cuatro,600 USD,2026-01-01,Diego Díaz
Laptop,cuatro,147 USD,01-01-2026,María García
Monitor, 2,411 USD,2026-01-01,Lucía Sánchez
Teclado, 2,596 USD,01-01-2026,Ana Martínez
Laptop,3 ,635 USD,2026-01-01,Ana Martínez
